Education,JoiningYear,City,PaymentTier,Age,Gender,EverBenched,ExperienceInCurrentDomain,LeaveOrNot,Skills,Performance_Score
Bachelors,2017,Bangalore,3,34,Male,No,0,0,"Python, SQL, Data Analysis",4
Bachelors,2013,Pune,1,28,Female,No,3,1,"Java, Spring Boot, Microservices",2
Bachelors,2014,New Delhi,3,38,Female,No,2,0,"React, JavaScript, UI/UX",3
Masters,2016,Bangalore,3,27,Male,No,5,1,"AWS, Docker, Kubernetes",3
Masters,2017,Pune,3,24,Male,Yes,2,1,"Cybersecurity, Networking",1
Bachelors,2016,Bangalore,3,22,Male,No,0,0,"Machine Learning, Python",5
Bachelors,2015,New Delhi,3,38,Male,No,0,0,"DevOps, CI/CD, Linux",2
Bachelors,2016,Bangalore,3,34,Female,No,2,1,"Data Engineering, Spark",4
Bachelors,2016,Pune,3,23,Male,No,1,0,"Python, SQL, Data Analysis",5
Masters,2017,New Delhi,2,37,Male,No,2,0,"Java, Spring Boot, Microservices",1
Masters,2012,Bangalore,3,27,Male,No,5,1,"React, JavaScript, UI/UX",4
Bachelors,2016,Pune,3,34,Male,No,3,0,"AWS, Docker, Kubernetes",2
Bachelors,2018,Pune,3,32,Male,Yes,5,1,"Cybersecurity, Networking",5
Bachelors,2016,Bangalore,3,39,Male,No,2,0,"Machine Learning, Python",5
Bachelors,2012,Bangalore,3,37,Male,No,4,0,"DevOps, CI/CD, Linux",1
Bachelors,2017,Bangalore,1,29,Male,No,3,0,"Data Engineering, Spark",1
Bachelors,2014,Bangalore,3,34,Female,No,2,0,"Python, SQL, Data Analysis",4
Bachelors,2014,Pune,3,34,Male,No,4,0,"Java, Spring Boot, Microservices",3
Bachelors,2015,Pune,2,30,Female,No,0,1,"React, JavaScript, UI/UX",5
Bachelors,2016,New Delhi,2,22,Female,No,0,1,"AWS, Docker, Kubernetes",1
Bachelors,2012,Bangalore,3,37,Male,No,0,0,"Cybersecurity, Networking",5
Masters,2017,New Delhi,2,28,Male,No,4,0,"Machine Learning, Python",4
Bachelors,2017,New Delhi,2,36,Male,No,3,0,"DevOps, CI/CD, Linux",5
Bachelors,2015,Bangalore,3,27,Male,Yes,5,0,"Data Engineering, Spark",5
Bachelors,2017,Bangalore,3,29,Male,No,4,0,"Python, SQL, Data Analysis",4
Bachelors,2013,Bangalore,3,22,Female,Yes,0,0,"Java, Spring Boot, Microservices",3
Bachelors,2016,Bangalore,3,37,Male,No,2,0,"React, JavaScript, UI/UX",2
Bachelors,2015,Bangalore,3,23,Male,No,1,0,"AWS, Docker, Kubernetes",4
Bachelors,2013,Pune,2,31,Female,No,2,1,"Cybersecurity, Networking",4
Masters,2017,New Delhi,2,30,Female,No,2,0,"Machine Learning, Python",2
PHD,2013,New Delhi,3,25,Male,No,3,0,"DevOps, CI/CD, Linux",5
Bachelors,2014,Bangalore,3,23,Male,No,1,0,"Data Engineering, Spark",2
Bachelors,2018,Bangalore,3,26,Male,No,4,1,"Python, SQL, Data Analysis",2
Bachelors,2016,Bangalore,3,40,Male,No,5,0,"Java, Spring Boot, Microservices",2
Bachelors,2017,Pune,2,37,Female,No,0,1,"React, JavaScript, UI/UX",3
Bachelors,2014,Bangalore,1,30,Female,No,3,0,"AWS, Docker, Kubernetes",2
Bachelors,2012,New Delhi,3,29,Male,No,3,0,"Cybersecurity, Networking",4
Bachelors,2018,New Delhi,2,34,Female,No,0,1,"Machine Learning, Python",2
Bachelors,2017,Pune,2,29,Female,No,2,1,"DevOps, CI/CD, Linux",1
Bachelors,2014,Pune,3,30,Male,Yes,4,0,"Data Engineering, Spark",3
Bachelors,2015,Bangalore,3,36,Male,No,1,0,"Python, SQL, Data Analysis",1
Masters,2017,New Delhi,2,23,Male,No,1,0,"Java, Spring Boot, Microservices",1
Bachelors,2013,Bangalore,3,30,Male,No,3,1,"React, JavaScript, UI/UX",3
Bachelors,2014,Bangalore,3,36,Male,No,0,0,"AWS, Docker, Kubernetes",1
Bachelors,2015,Pune,3,39,Male,No,4,0,"Cybersecurity, Networking",2
Bachelors,2014,Bangalore,3,23,Female,No,1,0,"Machine Learning, Python",5
PHD,2012,New Delhi,3,27,Male,No,5,0,"DevOps, CI/CD, Linux",4
Masters,2013,New Delhi,3,35,Male,No,2,0,"Data Engineering, Spark",3
Masters,2017,New Delhi,2,34,Male,No,0,0,"Python, SQL, Data Analysis",4
Bachelors,2013,Bangalore,3,30,Female,No,1,0,"Java, Spring Boot, Microservices",3
PHD,2017,New Delhi,3,34,Male,No,2,0,"React, JavaScript, UI/UX",3
Bachelors,2015,Pune,2,26,Female,No,4,1,"AWS, Docker, Kubernetes",2
Bachelors,2016,Bangalore,3,34,Female,No,0,0,"Cybersecurity, Networking",1
Bachelors,2014,Bangalore,3,31,Female,Yes,5,0,"Machine Learning, Python",1
Bachelors,2017,New Delhi,3,31,Female,Yes,5,0,"DevOps, CI/CD, Linux",5
PHD,2013,New Delhi,3,28,Male,No,2,0,"Data Engineering, Spark",2
Bachelors,2016,Bangalore,3,38,Male,No,2,0,"Python, SQL, Data Analysis",2
Masters,2014,Pune,3,39,Female,No,2,0,"Java, Spring Boot, Microservices",4
Bachelors,2013,Pune,3,32,Male,No,4,0,"React, JavaScript, UI/UX",4
Masters,2017,Pune,2,36,Male,No,2,1,"AWS, Docker, Kubernetes",5
Masters,2013,New Delhi,3,29,Male,No,3,0,"Cybersecurity, Networking",5
Bachelors,2015,Bangalore,3,30,Male,No,5,0,"Machine Learning, Python",2
PHD,2013,Bangalore,2,25,Male,No,3,1,"DevOps, CI/CD, Linux",4
Bachelors,2014,Pune,1,22,Female,No,0,1,"Data Engineering, Spark",1
Bachelors,2016,Bangalore,3,34,Male,No,4,0,"Python, SQL, Data Analysis",1
Bachelors,2018,Bangalore,3,40,Male,No,1,1,"Java, Spring Boot, Microservices",4
PHD,2013,Bangalore,3,26,Male,No,4,0,"React, JavaScript, UI/UX",4
Bachelors,2014,New Delhi,3,28,Male,No,0,0,"AWS, Docker, Kubernetes",5
Bachelors,2015,Bangalore,3,24,Female,No,2,0,"Cybersecurity, Networking",1
Masters,2017,Bangalore,3,40,Female,No,2,1,"Machine Learning, Python",3
Bachelors,2018,Bangalore,3,23,Female,No,1,1,"DevOps, CI/CD, Linux",4
Masters,2017,Bangalore,3,31,Male,No,4,0,"Data Engineering, Spark",5
Bachelors,2014,Pune,3,25,Female,No,3,0,"Python, SQL, Data Analysis",3
Bachelors,2014,Bangalore,1,27,Male,No,5,0,"Java, Spring Boot, Microservices",1
Masters,2017,New Delhi,2,25,Female,No,3,1,"React, JavaScript, UI/UX",2
Bachelors,2015,Bangalore,3,40,Male,No,0,1,"AWS, Docker, Kubernetes",5
Bachelors,2014,Bangalore,1,23,Female,No,1,0,"Cybersecurity, Networking",4
Bachelors,2017,Bangalore,3,23,Female,No,1,0,"Machine Learning, Python",3
Bachelors,2012,Bangalore,3,39,Male,No,1,0,"DevOps, CI/CD, Linux",1
PHD,2015,New Delhi,1,37,Male,No,1,0,"Data Engineering, Spark",3
Bachelors,2017,Pune,3,38,Male,No,2,0,"Python, SQL, Data Analysis",2
Bachelors,2013,Bangalore,3,31,Female,No,0,1,"Java, Spring Boot, Microservices",5
Bachelors,2016,Bangalore,3,38,Male,No,5,0,"React, JavaScript, UI/UX",1
Bachelors,2017,Bangalore,3,25,Female,No,3,0,"AWS, Docker, Kubernetes",4
Bachelors,2015,Bangalore,3,27,Female,Yes,5,1,"Cybersecurity, Networking",2
Bachelors,2016,Pune,2,36,Male,No,0,1,"Machine Learning, Python",1
Bachelors,2017,Pune,2,27,Female,No,5,1,"DevOps, CI/CD, Linux",4
Masters,2015,Pune,2,32,Female,No,4,0,"Data Engineering, Spark",4
Bachelors,2014,Bangalore,3,28,Male,No,4,0,"Python, SQL, Data Analysis",3
Masters,2012,New Delhi,3,32,Male,No,2,0,"Java, Spring Boot, Microservices",5
Bachelors,2018,Bangalore,3,30,Male,No,0,1,"React, JavaScript, UI/UX",1
Bachelors,2015,New Delhi,3,22,Male,No,0,0,"AWS, Docker, Kubernetes",3
Bachelors,2017,New Delhi,2,34,Female,No,5,0,"Cybersecurity, Networking",5
Masters,2013,New Delhi,3,36,Male,No,2,0,"Machine Learning, Python",3
Bachelors,2014,Bangalore,3,39,Male,No,3,1,"DevOps, CI/CD, Linux",1
PHD,2018,Bangalore,3,26,Male,No,4,1,"Data Engineering, Spark",5
Bachelors,2016,Bangalore,3,31,Female,No,0,0,"Python, SQL, Data Analysis",3
Bachelors,2014,Bangalore,3,27,Male,No,5,1,"Java, Spring Boot, Microservices",4
Bachelors,2014,Bangalore,3,29,Female,No,0,0,"React, JavaScript, UI/UX",4
Bachelors,2015,Bangalore,3,24,Female,No,2,1,"AWS, Docker, Kubernetes",3
Masters,2012,Pune,3,25,Male,No,3,1,"Cybersecurity, Networking",2
Bachelors,2013,Pune,3,25,Male,No,3,0,"Machine Learning, Python",3
Masters,2017,New Delhi,3,26,Female,No,4,1,"DevOps, CI/CD, Linux",3
Bachelors,2015,Pune,2,28,Female,Yes,1,1,"Data Engineering, Spark",5
Bachelors,2017,New Delhi,3,28,Male,No,2,0,"Python, SQL, Data Analysis",4
Masters,2015,Pune,1,28,Female,No,3,1,"Java, Spring Boot, Microservices",2
Masters,2015,New Delhi,3,25,Male,No,3,0,"React, JavaScript, UI/UX",3
Bachelors,2017,Bangalore,3,28,Male,No,1,0,"AWS, Docker, Kubernetes",4
Masters,2013,Pune,3,25,Male,No,3,0,"Cybersecurity, Networking",5
Bachelors,2015,Bangalore,2,25,Female,No,3,1,"Machine Learning, Python",2
Bachelors,2015,Bangalore,3,27,Female,No,5,0,"DevOps, CI/CD, Linux",5
Bachelors,2017,Pune,2,27,Female,No,5,1,"Data Engineering, Spark",5
Bachelors,2013,Bangalore,3,27,Male,No,5,1,"Python, SQL, Data Analysis",2
Bachelors,2012,Bangalore,3,25,Male,No,3,0,"Java, Spring Boot, Microservices",4
Masters,2017,New Delhi,2,28,Male,No,2,0,"React, JavaScript, UI/UX",2
Bachelors,2014,Pune,1,26,Female,No,4,1,"AWS, Docker, Kubernetes",1
Bachelors,2015,Bangalore,3,28,Male,No,2,0,"Cybersecurity, Networking",1
Masters,2013,New Delhi,3,26,Male,No,4,0,"Machine Learning, Python",1
Bachelors,2017,Bangalore,3,26,Female,No,4,0,"DevOps, CI/CD, Linux",4
Bachelors,2017,New Delhi,2,25,Male,No,3,0,"Data Engineering, Spark",5
Bachelors,2012,Bangalore,1,28,Female,No,3,0,"Python, SQL, Data Analysis",1
PHD,2015,New Delhi,3,26,Male,No,4,0,"Java, Spring Boot, Microservices",5
Bachelors,2015,New Delhi,3,25,Female,No,3,0,"React, JavaScript, UI/UX",5
Bachelors,2012,Bangalore,3,26,Male,No,4,1,"AWS, Docker, Kubernetes",1
Bachelors,2014,Bangalore,3,28,Female,No,3,0,"Cybersecurity, Networking",2
