Education,JoiningYear,City,PaymentTier,Age,Gender,EverBenched,ExperienceInCurrentDomain,LeaveOrNot,Skills,Performance_Score,Layoff_Risk,Skill_Count,Experience_Age_Ratio,Employee_Risk_Score,Employee_Risk_Level
Bachelors,2017,Bangalore,3,34,Male,No,0,0,"data analysis,python,sql",4,0,3,0.0,0.07565354785839004,Low
Bachelors,2013,Pune,1,28,Female,No,3,1,"java,microservices,spring boot",2,1,3,0.10714285714285714,0.9408579173820033,High
Bachelors,2014,New Delhi,3,38,Female,No,2,0,"javascript,react,ui/ux",3,0,3,0.05263157894736842,0.22299667257555816,Low
Masters,2016,Bangalore,3,27,Male,No,5,1,"aws,docker,kubernetes",3,1,3,0.18518518518518517,0.8681241027819823,High
Masters,2017,Pune,3,24,Male,Yes,2,1,"cybersecurity,networking",1,1,2,0.08333333333333333,0.7695496675261406,High
Bachelors,2016,Bangalore,3,22,Male,No,0,0,"machine learning,python",5,0,2,0.0,0.2134074233222182,Low
Bachelors,2015,New Delhi,3,38,Male,No,0,0,"ci/cd,devops,linux",2,0,3,0.0,0.06235826895447531,Low
Bachelors,2016,Bangalore,3,34,Female,No,2,1,"data engineering,spark",4,1,2,0.058823529411764705,0.5604562579041865,Medium
Bachelors,2016,Pune,3,23,Male,No,1,0,"data analysis,python,sql",5,0,3,0.043478260869565216,0.08692012809747132,Low
Masters,2017,New Delhi,2,37,Male,No,2,0,"java,microservices,spring boot",1,0,3,0.05405405405405406,0.1263196843866409,Low
Masters,2012,Bangalore,3,27,Male,No,5,1,"javascript,react,ui/ux",4,1,3,0.18518518518518517,0.8808546836670242,High
Bachelors,2016,Pune,3,34,Male,No,3,0,"aws,docker,kubernetes",2,0,3,0.08823529411764706,0.05245548914628238,Low
Bachelors,2018,Pune,3,32,Male,Yes,5,1,"cybersecurity,networking",5,1,2,0.15625,0.8930652764127462,High
Bachelors,2016,Bangalore,3,39,Male,No,2,0,"machine learning,python",5,0,2,0.05128205128205128,0.14245711293373342,Low
